"","fheight","sheight"
"115",66.5723,69.52338
"116",66.64876,68.74406
"117",67.71899,69.30987
"118",68.48726,69.22571
"119",67.82769,69.24073
"120",67.55801,69.4912
"121",68.07763,69.11921
"122",69.16715,68.93751
"123",68.693,69.45774
"124",68.61779,69.27599
"125",68.64797,69.22869
"126",68.61666,68.70547
"127",70.36485,69.34638
"128",70.0099,68.87137
"129",70.13984,69.30262
"130",70.2073,69.1579
"131",71.28063,69.62727
"132",70.90445,69.11014
"133",72.19036,69.09596
"134",74.96203,69.03281
"135",64.88218,69.85677
"136",65.55174,70.06274
"137",65.65889,69.89765
"138",65.92826,70.26185
"139",65.94198,70.52663
"140",67.43646,70.52744
"141",67.48444,69.7865
"142",67.61344,70.36684
"143",68.4518,69.97604
"144",68.49456,69.83308
"145",68.1056,70.69951
"146",69.48308,70.16871
"147",69.07389,70.11632
"148",69.39251,69.95433
"149",69.44294,70.31279
"150",69.52131,69.80903
"151",70.15463,69.96792
"152",69.86911,69.93939
"153",70.44394,69.73486
"154",70.85393,70.08397
"155",71.30074,70.01015
"156",72.13978,70.65025
"157",72.19045,70.01253
"158",75.43393,70.09077
"159",64.51788,71.34319
"160",66.36335,70.81542
"161",65.56855,71.44929
"162",66.78957,71.18676
"163",66.91193,71.66276
"164",68.1714,71.39516
"165",67.50102,70.73612
"166",67.83492,71.2608
"167",68.95255,71.04721
"168",69.26,71.2592
"169",68.74223,70.89486
"170",69.74288,71.31732
"171",70.29942,71.55712
"172",70.04402,71.17701
"173",70.23559,71.03412
"174",70.88075,71.37275
"175",71.19091,71.64741
"176",72.37396,71.1205
"177",73.03345,70.91756
"178",74.8083,71.66455
"179",67.39521,72.39198
"180",67.31523,71.87928
"181",67.77952,72.34482
"182",69.33827,72.17265
"183",68.72404,72.52078
"184",69.98991,71.98836
"185",69.75383,72.34482
"186",70.65942,72.45347
"187",71.10882,72.26945
"188",72.4811,71.96844
"189",72.4801,72.18169
"190",67.52214,72.7864
"191",68.23931,73.0414
"192",68.7997,72.87858
"193",69.89568,73.17304
"194",71.48641,73.63274
"195",70.76482,72.88245
"196",71.9137,73.18148
"197",63.08399,74.3209
"198",68.23241,74.40727
"199",70.05787,73.76791
"200",70.83996,73.92119
"201",72.56944,73.75503
"202",67.93353,75.56214
"203",67.54033,75.70222
"204",72.79855,77.21338
"205",62.67482,61.28882
"206",68.19196,74.28343
"207",65.07215,70.93102
"208",73.42952,75.34802
"209",62.94125,61.78758
"210",62.53667,64.00009
"211",69.90248,62.4658
"212",71.07217,73.70465
"213",71.11059,66.3495
"214",69.48402,62.20543
"215",70.18338,65.421
"216",65.46124,63.9922
"217",62.04073,62.78458
"218",63.60063,63.52486
"219",65.60613,63.49966
"220",68.02969,62.89658
"221",61.81571,63.72784
"222",63.78886,63.73231
"223",64.89023,64.39579
"224",65.79072,63.70072
"225",66.42371,64.44796
"226",68.80877,64.2795
"227",61.76521,65.18412
"228",64.30302,65.10118
"229",63.69064,65.56277
"230",64.99662,64.94454
"231",65.34899,65.14227
"232",64.81278,65.16843
"233",65.71736,65.58149
"234",66.03148,65.63474
"235",67.04912,64.87191
"236",67.77522,65.4176
"237",69.04964,64.7231
"238",62.1833,65.84559
"239",62.76393,65.77333
"240",63.88391,66.67371
"241",65.41055,66.54726
"242",64.62347,66.43228
"243",65.64621,66.3326
"244",66.16257,66.24935
"245",65.99538,66.39759
"246",65.79786,66.69366
"247",67.42936,66.22114
"248",67.11933,66.43499
"249",67.32907,66.65758
"250",67.86233,65.76873
"251",68.31609,66.20784
"252",67.96359,66.30166
"253",68.68615,65.81894
"254",71.18085,66.34562
"255",62.4296,66.88369
"256",62.88524,66.8162
"257",64.07313,67.36245
"258",63.88597,67.68308
"259",64.8272,67.19885
"260",65.39653,67.26903
"261",64.77344,67.45131
"262",68.66581,68.95907
"263",65.19783,62.013
"264",64.32621,64.10658
"265",66.08278,66.00879
"266",69.01679,65.77796
"267",64.50194,66.94446
"268",66.07654,66.81229
"269",65.73631,67.01431
"270",66.45485,67.43705
"271",65.63018,66.8442
"272",66.39423,67.25391
"273",67.33687,67.52273
"274",66.83938,67.17782
"275",66.69739,67.6068
"276",67.34708,66.8991
"277",67.35319,66.74675
"278",67.93575,67.16928
"279",67.76608,67.23833
"280",68.11569,66.75589
"281",68.2548,66.79828
"282",68.83427,67.488
"283",69.40758,67.1104
"284",69.32068,67.06455
"285",70.48,66.93899
"286",70.06429,67.54723
"287",70.63764,66.85662
"288",62.41134,67.70971
"289",63.15274,67.88296
"290",63.51409,68.66534
"291",63.91446,68.58164
"292",64.61683,68.44493
"293",64.86185,68.41199
"294",65.91332,68.44665
"295",66.1992,68.38258
"296",66.45978,67.92987
"297",65.50286,68.3033
"298",66.87795,67.97479
"299",67.0791,68.18304
"300",66.83256,68.57984
"301",67.18231,68.56974
"302",66.51763,67.81854
"303",66.95295,67.8796
"304",66.63586,68.22794
"305",68.18453,68.01258
"306",67.60565,67.85023
"307",68.27918,67.80077
"308",67.97994,68.59968
"309",69.00094,68.08671
"310",69.31139,67.87656
"311",68.88641,68.47849
"312",68.94824,68.60006
"313",69.42186,68.07838
"314",69.49516,68.08199
"315",70.34647,67.73211
"316",69.92358,68.4132
"317",70.69078,68.59541
"318",70.56571,68.28458
"319",72.40997,68.06489
"320",72.47685,68.41445
"321",62.72118,69.36998
"322",63.9001,69.00435
"323",64.50433,69.37297
"324",64.81813,68.89496
"325",65.37582,69.37382
"326",65.82612,69.34415
"327",66.29436,68.96686
"328",65.81042,69.59887
"329",66.80854,69.24597
"330",67.16724,69.68301
"331",67.30525,68.90541
"332",67.54577,69.07283
"333",67.86855,69.03297
"334",68.35003,69.18202
"335",67.60818,69.64233
"336",68.48397,68.82818
"337",68.56724,69.24165
"338",69.07405,69.10265
"339",68.56831,68.98512
"340",69.15373,69.31551
"341",68.60744,69.20435
"342",68.5443,68.93765
"343",69.65536,69.36661
"344",70.41632,68.71181
"345",69.97528,68.75662
"346",70.26613,69.35439
"347",71.31667,69.42891
"348",71.29178,69.52003
"349",72.59442,69.2275
"350",64.40268,69.95069
"351",64.9127,69.9199
"352",66.34756,69.98123
"353",66.04291,69.74222
"354",65.69477,69.82326
"355",66.71512,69.90223
"356",66.64971,70.2992
"357",68.33241,69.83745
"358",67.94335,69.94847
"359",67.96734,70.27479
"360",68.27657,70.67752
"361",68.75008,70.38903
"362",69.05441,70.37578
"363",69.00755,70.60668
"364",69.39488,70.16921
"365",69.7628,69.85223
"366",69.6464,70.23353
"367",70.45427,70.28373
"368",69.89852,70.33881
"369",70.984,69.81443
"370",71.22015,70.54739
"371",71.45442,69.96746
"372",71.60966,69.73702
"373",73.20296,69.8604
"374",63.89132,70.87111
"375",65.99384,71.36657
"376",66.0424,71.1878
"377",67.47658,70.75001
"378",66.68527,70.72998
"379",68.27034,71.32092
"380",67.72898,70.88794
"381",68.28372,70.9085
"382",68.39453,70.87662
"383",69.12925,71.19803
"384",69.10844,71.31925
"385",69.74196,71.22916
"386",69.9987,71.35939
"387",69.56148,71.60205
"388",69.97779,70.97309
"389",70.88691,71.1886
"390",70.64687,71.40319
"391",72.26404,71.39524
"392",71.50569,70.88752
"393",73.01402,71.27449
"394",66.20254,72.10289
"395",67.26312,72.03197
"396",67.8086,71.9969
"397",69.08284,71.72577
"398",69.35107,71.92914
"399",69.59962,72.20518
"400",70.08948,72.29401
"401",70.18385,72.5854
"402",71.26955,72.04673
"403",72.07717,71.80541
"404",72.33894,71.80464
"405",67.06776,73.06559
"406",67.85929,73.44548
"407",69.07274,73.19223
"408",69.59893,73.37471
"409",69.73728,73.22554
"410",70.54066,72.88357
"411",72.40962,72.77826
"412",72.78889,73.26989
"413",68.10144,73.96165
"414",68.6106,74.64342
"415",71.293,73.92565
"416",72.09445,74.58767
"417",74.69236,74.31029
"418",71.16246,75.10003
"419",68.30804,77.15504
"420",60.41857,60.78204
"421",63.94459,62.36303
"422",63.06849,66.40186
"423",63.98036,58.50708
"424",73.89524,70.00052
"425",72.03687,70.99433
"426",61.02471,64.96417
"427",65.39914,70.47639
"428",71.96564,69.23383
"429",71.29643,64.90184
"430",65.15837,68.7749
"431",68.90263,69.85805
"432",64.45192,62.52373
"433",63.99469,63.28805
"434",66.46124,63.52861
"435",67.12556,62.87456
"436",62.27941,63.91754
"437",63.8488,64.32325
"438",65.43612,64.22405
"439",65.62145,64.59643
"440",66.16956,64.28548
"441",67.62675,63.78835
"442",60.21393,65.66404
"443",62.99378,64.80838
"444",63.57239,65.63528
"445",65.15088,64.74897
"446",65.13462,64.79081
"447",64.79732,65.10988
"448",66.24856,65.55215
"449",66.22743,65.30083
"450",66.6056,65.1426
"451",67.99167,65.09433
"452",69.04862,64.81397
"453",62.12902,65.95058
"454",63.16227,66.37511
"455",64.45497,66.38624
"456",63.75483,66.31904
"457",64.63959,65.80919
"458",64.59106,66.09556
"459",66.06003,66.49077
"460",65.98544,66.32632
"461",65.66176,66.59779
"462",67.11501,66.00909
"463",67.31302,66.45585
"464",67.16149,66.00818
"465",68.38679,66.46605
"466",67.64175,66.37783
"467",67.55466,66.34685
"468",68.53614,66.31558
"469",70.02702,66.62303
"470",61.07412,66.79229
"471",62.72387,67.5336
"472",64.28642,67.15587
"473",64.11073,66.78051
"474",63.68318,67.25544
"475",64.68393,66.79006
"476",64.66753,66.88298
"477",67.95848,68.1121
"478",64.60933,63.61572
"479",66.07775,63.17978
"480",65.25267,65.67211
"481",69.67201,67.23403
"482",65.33965,67.4089
"483",65.54375,67.57913
"484",66.1112,67.20643
"485",66.22968,67.10018
"486",66.00879,66.80557
"487",66.03248,67.09308
"488",65.94624,66.91372
"489",67.09734,66.77528
"490",66.98893,66.97572
"491",67.38837,67.66639
"492",67.4075,67.62089
"493",67.31108,67.66841
"494",68.27151,67.32572
"495",68.33586,67.04153
"496",67.56752,66.96445
"497",68.23182,67.07223
"498",69.07604,67.169
"499",68.77033,67.48077
"500",70.49154,67.67057
"501",70.00767,66.86465
"502",69.52007,67.04437
"503",61.50617,67.72523
"504",62.93875,68.52969
"505",64.10318,67.8741
"506",63.85157,67.84693
"507",65.08731,68.26632
"508",64.62588,68.18364
"509",65.8912,68.55723
"510",66.24386,67.77137
"511",65.66031,67.92976
"512",66.05344,67.72522
"513",66.30711,67.98916
"514",67.15303,68.0679
"515",66.90986,67.772
"516",66.89436,68.11035
"517",66.56566,68.16623
"518",67.23789,68.61054
"519",67.05684,68.2893
"520",67.94515,68.38263
"521",67.94026,68.6212
"522",67.84234,68.27802
"523",67.91887,67.93914
"524",68.63961,67.7105
"525",68.60477,68.351
"526",69.04036,68.14712
"527",69.03336,67.97421
"528",69.12497,68.23682
"529",68.53779,68.05699
"530",70.24335,68.49856
"531",69.84308,68.58894
"532",69.90057,67.74098
"533",71.48946,68.69765
"534",72.37013,68.63531
"535",71.94413,68.37844
"536",61.01904,69.11352
"537",63.0108,69.35385
"538",64.5793,69.5135
"539",65.39658,69.11
"540",64.84995,69.64324
"541",65.54542,69.40655
"542",65.56421,69.18575
"543",66.09747,68.80709
"544",67.40602,69.11679
"545",66.5839,69.02706
"546",67.41035,69.05703
"547",67.21634,69.14581
"548",68.23175,68.7308
"549",67.88053,68.9798
"550",68.0153,68.95303
"551",67.69332,69.1639
"552",68.85462,68.81649
"553",68.73264,68.73746
"554",69.0711,69.00102
"555",68.79964,69.28222
"556",68.79876,69.37676
"557",69.32241,68.90879
"558",69.60923,69.32318
"559",69.76071,69.63872
"560",70.1611,69.43581
"561",70.12109,68.97885
"562",71.10802,69.54252
"563",71.44164,68.73497
"564",71.75006,69.20127
"565",64.35591,70.36167
"566",65.16253,70.10118
"567",66.09529,70.39507
"568",65.78674,70.03877
"569",65.53927,69.76556
"570",66.71703,70.39131
"571",67.17284,70.0372
"572",67.16853,70.25908
"573",68.06061,69.87081
"574",67.85988,70.69845
"575",68.1968,70.25756
"576",69.29537,69.7177
"577",68.84067,70.31993
"578",69.18095,69.95735
"579",68.69659,69.72691
"580",69.45833,70.22698
"581",70.0483,70.02038
"582",69.6916,70.32035
"583",70.20658,70.39947
"584",70.79086,69.78074
"585",70.87977,69.7598
"586",71.30702,70.53827
"587",72.3266,70.03449
"588",72.7824,70.59135
"589",64.40052,71.13378
"590",64.89121,71.15371
"591",65.84506,71.03018
"592",67.35461,70.93936
"593",67.44953,70.78603
"594",67.86439,71.50695
"595",67.92443,71.57023
"596",68.49998,70.83563
"597",67.60602,70.96118
"598",69.37288,71.55428
"599",69.34931,71.08274
"600",69.48306,71.49587
"601",70.21887,71.36997
"602",70.02161,71.49891
"603",69.83698,71.01177
"604",69.6041,71.62784
"605",71.49829,71.36701
"606",72.16894,71.23426
"607",72.41045,70.90129
"608",72.52521,71.53087
"609",64.6702,72.441
"610",66.78417,72.5999
"611",67.83401,71.79167
"612",68.15907,72.00806
"613",69.19301,72.01746
"614",68.86739,72.44981
"615",70.11126,71.92864
"616",70.12007,72.0908
"617",71.03691,72.57398
"618",71.43196,72.53335
"619",72.04564,71.78483
"620",72.738,72.57594
"621",68.02564,73.06795
"622",69.04939,73.18852
"623",68.86356,73.39371
"624",69.63421,73.3754
"625",71.24085,73.67679
"626",71.95679,72.84789
"627",72.89983,72.99608
"628",65.86028,74.67822
"629",68.48883,73.8507
"630",70.72676,74.35692
"631",72.34582,73.99906
"632",72.59922,73.92525
"633",68.82986,75.67784
"634",73.49987,76.10484
"635",70.0599,78.2476
"636",67.9291,61.89619
"637",64.66998,69.86215
"638",60.7795,62.26801
"639",74.94058,71.40839
"640",70.64925,71.60925
"641",60.91526,65.51351
"642",65.28934,71.86574
"643",71.362,71.16645
"644",71.66893,64.53321
"645",62.68868,65.25053
"646",71.39326,69.62871
"647",66.56302,65.10223
"648",67.18788,61.03526
"649",62.532,63.12132
"650",64.85512,63.5968
"651",66.94161,63.47848
"652",62.3603,63.83162
"653",63.58145,64.18388
"654",65.44633,64.66888
"655",65.00539,64.06363
"656",66.43717,64.38072
"657",66.6676,64.60295
"658",59.4898,64.81735
"659",63.00108,65.22864
"660",64.0892,65.62354
"661",64.0753,65.62755
"662",64.52103,64.8584
"663",65.19231,65.6482
"664",66.30604,65.6904
"665",66.03081,65.58218
"666",66.83096,65.08945
"667",68.19724,64.87234
"668",68.6599,65.68794
"669",61.29369,66.54461
"670",63.26089,66.23255
"671",63.86162,65.91034
"672",64.13176,66.29882
"673",64.81105,66.33603
"674",64.55987,66.19024
"675",66.19437,66.12728
"676",66.5,66.1938
"677",66.43436,65.82389
"678",67.30468,66.61389
"679",67.36559,66.45299
"680",67.29162,66.25633
"681",67.69874,66.53703
"682",68.38221,66.28457
"683",67.76712,65.90354
"684",69.29587,66.61969
"685",69.66477,66.59349
"686",60.03436,67.30641
"687",62.1356,67.41523
"688",63.64047,67.51658
"689",63.82278,66.94071
"690",64.46555,67.11246
"691",64.73798,66.99107
"692",65.43021,66.94124
"693",65.07381,68.06898
"694",69.29517,67.47908
"695",67.67996,63.00731
"696",64.94267,67.40208
"697",69.47933,68.75691
"698",65.05963,66.90827
"699",65.01253,67.28305
"700",65.61963,67.15978
"701",65.94819,67.12405
"702",65.68803,67.07313
"703",65.87689,67.17665
"704",65.91481,66.74724
"705",67.41946,66.81865
"706",66.53833,67.43735
"707",67.41995,67.37322
"708",67.21977,66.96049
"709",67.33721,67.40154
"710",68.11283,66.91834
"711",68.02017,66.93007
"712",68.02829,66.78425
"713",68.35139,66.7842
"714",68.80254,67.15158
"715",69.49307,67.45025
"716",70.2297,67.68985
"717",69.71997,67.13767
"718",70.16651,67.60589
"719",61.07369,67.96334
"720",62.66947,68.65674
"721",64.32254,68.42972
"722",64.27362,68.01111
"723",64.96148,68.61891
"724",64.77222,68.50647
"725",66.2365,67.77439
"726",66.10686,68.09837
"727",66.42772,68.19228
"728",66.22727,68.54918
"729",65.87574,68.59413
"730",67.03017,68.65282
"731",67.48545,68.40294
"732",66.7367,68.54259
"733",66.69181,68.59444
"734",67.31766,67.87885
"735",67.1219,68.0454
"736",67.82592,67.96346
"737",68.4376,68.55092
"738",67.74551,68.07785
"739",68.0934,67.93252
"740",67.71665,68.5916
"741",68.99349,67.90891
"742",69.24616,68.63842
"743",69.2828,68.6514
"744",69.26254,68.40634
"745",68.75605,68.19563
"746",69.62519,68.3391
"747",69.61942,68.13175
"748",69.94715,67.79551
"749",70.58916,68.24471
"750",72.34058,67.96366
"751",71.56142,68.02669
"752",72.94457,68.07695
"753",63.33777,69.23339
"754",64.3445,69.22874
"755",65.14077,68.9062
"756",65.2424,69.33247
"757",65.90397,69.53206
"758",65.98763,69.02418
"759",65.57065,69.26288
"760",65.82733,69.55433
"761",66.88576,69.3664
"762",66.98594,68.96569
"763",67.41537,69.33038
"764",67.93319,69.10425
"765",67.77812,69.29199
"766",68.44999,69.26009
"767",68.32281,68.71424
"768",68.35148,69.48488
"769",68.73678,69.48141
"770",68.97673,68.88311
"771",69.31931,68.83524
"772",68.80442,69.42378
"773",68.90434,68.82387
"774",69.80381,69.06951
"775",69.66712,69.18528
"776",70.38052,69.26989
"777",70.29892,68.83727
"778",71.02634,69.11594
"779",71.28432,69.39569
"780",72.03259,68.70258
"781",63.26539,70.39288
"782",64.87623,70.49606
"783",65.72722,70.11817
"784",66.13831,69.75304
"785",66.48902,70.25238
"786",66.06395,70.28837
"787",66.73532,69.71807
"788",67.12329,70.13835
"789",67.57161,70.41752
"790",68.18286,69.91638
"791",68.33868,69.7803
"792",68.14658,69.90789
"793",69.17022,70.29221
"794",69.17597,70.20136
"795",68.52789,70.42766
"796",68.84874,70.40239
"797",69.69833,70.65713
"798",69.86528,69.7276
"799",70.48646,70.45174
"800",71.16238,70.52536
"801",70.58946,70.45682
"802",70.54353,70.52011
"803",72.38576,70.25621
"804",73.18522,70.32714
"805",64.12344,71.39933
"806",64.62855,71.03487
"807",65.74244,71.61276
"808",67.11563,70.90129
"809",66.81497,71.36831
"810",68.38001,71.46158
"811",68.33835,71.22939
"812",68.25066,71.59368
"813",68.36488,71.6476
"814",68.67873,71.33885
"815",68.70293,71.13133
"816",69.0466,71.52388
"817",70.17375,70.95837
"818",69.86849,71.48199
"819",70.15821,70.85433
"820",70.24204,71.41922
"821",71.41811,71.30872
"822",70.66031,71.22321
"823",72.42614,71.4506
"824",73.04341,70.76122
"825",64.6891,72.65576
"826",67.09928,71.96434
"827",67.79858,72.3071
"828",68.37299,72.2446
"829",69.19364,72.38029
"830",68.5938,72.04211
"831",69.86969,71.77644
"832",70.17952,72.54877
"833",70.51811,72.57381
"834",71.00743,71.90584
"835",71.83086,72.62022
"836",72.81121,72.4218
"837",67.95451,73.13823
"838",67.81317,73.60773
"839",69.32812,73.2649
"840",70.45127,73.0769
"841",71.38916,73.69792
"842",72.31022,73.60551
"843",71.8821,72.87015
"844",64.61601,73.90142
"845",67.75382,74.32431
"846",69.90335,73.87776
"847",70.87039,74.20972
"848",72.71533,74.47833
"849",69.03942,75.07304
"850",72.44463,76.3516
"851",69.07253,78.36479
"852",70.1758,61.22021
"853",72.37219,72.63356
"854",59.63777,64.94291
"855",73.27737,73.02984
"856",68.12621,71.81569
"857",63.15234,65.29123
"858",66.00489,60.90911
"859",71.45303,72.131
"860",68.1456,70.98853
"861",65.25527,61.7019
"862",70.41584,67.51436
"863",68.38452,64.37789
"864",61.89133,63.2825
"865",64.98391,63.47892
"866",66.21887,63.66235
"867",59.48391,63.94637
"868",62.77645,63.93831
"869",63.86507,63.94722
"870",64.56486,64.08187
"871",65.60265,64.68702
"872",66.28333,64.38337
"873",70.55256,63.91132
"874",62.14539,64.84282
"875",64.37906,65.33216
"876",64.35191,65.2375
"877",64.91304,65.47348
"878",65.33085,65.16309
"879",65.17545,65.35727
"880",66.10285,65.59545
"881",66.05004,64.70258
"882",67.38231,64.76966
"883",67.83999,65.55892
"884",70.27309,65.42338
"885",63.19263,66.54624
"886",63.66834,65.70133
"887",64.12671,66.12315
"888",64.71388,66.2678
"889",65.14662,66.55539
"890",65.94428,66.42398
"891",65.67785,66.50633
"892",65.95134,66.27712
"893",67.30819,66.42142
"894",66.69404,66.25827
"895",66.56885,66.1285
"896",66.80951,66.53558
"897",68.24011,66.32575
"898",67.5344,66.11991
"899",68.4157,65.87925
"900",69.09588,65.70978
"901",70.81036,66.10198
"902",61.68183,67.57237
"903",63.04493,67.4361
"904",64.34945,67.00761
"905",63.89336,67.21048
"906",65.48176,67.1921
"907",64.726,67.39528
"908",64.65128,67.44979
"909",67.47271,68.18883
"910",66.76701,62.74094
"911",64.98147,66.34954
"912",69.38684,65.69966
"913",63.7123,68.36264
"914",64.63358,67.52548
"915",66.00037,67.24632
"916",65.96621,67.21519
"917",66.49751,67.45383
"918",66.27177,66.93472
"919",65.67892,67.6832
"920",66.86814,66.97218
"921",66.73495,66.73049
"922",66.53357,66.75153
"923",67.05051,67.4346
"924",67.04958,66.92896
"925",67.55908,67.49282
"926",67.58076,66.93944
"927",67.51942,67.03135
"928",68.12592,66.91542
"929",68.57465,66.97758
"930",68.52484,67.14932
"931",69.20286,67.53093
"932",69.7551,67.52202
"933",69.91868,67.27928
"934",70.50329,67.56893
"935",62.83528,67.75773
"936",63.24504,68.10565
"937",64.44602,68.49664
"938",64.31819,68.5851
"939",64.73521,67.85579
"940",64.72352,68.60796
"941",65.97741,68.19156
"942",65.63739,68.25828
"943",65.83449,68.15401
"944",65.87064,68.18623
"945",66.61001,68.16064
"946",66.75821,68.6097
"947",66.77012,68.34391
"948",67.21373,68.65678
"949",67.09047,68.51914
"950",66.93359,67.72093
"951",68.03852,67.96986
"952",67.98476,67.75073
"953",68.25046,68.09745
"954",68.26078,68.64602
"955",68.21235,68.2318
"956",68.54029,68.18244
"957",68.50469,68.15011
"958",69.13248,68.13611
"959",69.21981,68.10048
"960",69.34385,68.53037
"961",69.41153,68.37728
"962",70.25056,68.17652
"963",69.68641,67.7452
"964",70.51091,67.93037
"965",71.29598,68.25872
"966",72.20218,68.33639
"967",72.33929,68.27405
"968",62.91628,69.5816
"969",63.93525,68.70027
"970",64.59851,68.93075
"971",65.47401,68.78663
"972",65.864,69.0649
"973",66.30684,68.99285
"974",65.77587,68.99516
"975",66.48386,68.73929
"976",67.31983,69.47357
"977",67.39901,69.08392
"978",67.05939,69.07281
"979",68.45161,69.62286
"980",67.7061,69.35683
"981",68.08389,69.16149
"982",67.58923,68.81413
"983",67.80388,68.9529
"984",69.25919,69.47561
"985",69.05302,69.5506
"986",68.70921,69.38889
"987",69.02788,69.57241
"988",68.94943,69.37092
"989",68.81536,68.92229
"990",69.91801,68.71081
"991",70.45072,69.2671
"992",69.96349,68.74473
"993",69.75787,68.81509
"994",71.38281,69.47472
"995",71.08122,69.69307
"996",72.74936,69.65334
"997",65.26855,70.46902
"998",66.01549,70.00607
"999",65.5142,70.61711
"1000",65.62374,70.51318
"1001",65.92199,69.97204
"1002",67.11129,69.92313
"1003",66.89727,70.46938
"1004",67.94195,69.91923
"1005",67.7274,69.71908
"1006",67.54999,70.61155
"1007",67.96013,70.20868
"1008",68.83038,70.27586
"1009",69.43917,70.18348
"1010",68.55957,70.5115
"1011",69.10638,70.50015
"1012",70.4814,70.24017
"1013",69.92992,70.001
"1014",70.04238,70.21726
"1015",69.56779,70.20554
"1016",71.01077,69.97788
"1017",70.62603,70.36632
"1018",71.46383,70.38931
"1019",71.62112,70.18593
"1020",73.87758,70.23168
"1021",65.00573,70.74197
"1022",66.30354,71.47899
"1023",65.86743,71.41695
"1024",66.86667,71.20207
"1025",67.15958,70.87987
"1026",68.06904,71.26557
"1027",67.57382,71.41653
"1028",67.63354,71.24074
"1029",69.41356,71.15528
"1030",68.87192,71.20588
"1031",69.07779,70.98515
"1032",69.81177,71.35642
"1033",70.01463,71.21331
"1034",69.56649,71.59639
"1035",70.254,71.25854
"1036",70.68296,71.53325
"1037",70.87874,70.92787
"1038",72.45099,71.54787
"1039",73.04359,71.07293
"1040",74.40915,70.86163
"1041",67.40139,72.67319
"1042",66.53122,71.77245
"1043",68.04593,72.64278
"1044",68.82772,72.48159
"1045",69.33069,71.9078
"1046",70.34676,72.18324
"1047",70.173,72.55104
"1048",70.80883,72.33861
"1049",70.7029,72.07098
"1050",72.35959,72.30647
"1051",72.3661,72.05185
"1052",67.17534,72.75204
"1053",67.84045,72.79178
"1054",68.9053,73.50606
"1055",70.3752,73.68578
"1056",71.18523,72.79593
"1057",71.41254,73.41049
"1058",71.70673,73.02077
"1059",72.60072,73.20758
"1060",67.57652,74.49237
"1061",68.55814,73.81263
"1062",70.95019,73.81376
"1063",71.99783,73.82642
"1064",75.17469,73.81739
"1065",73.07157,75.57544
"1066",69.92407,77.23474
"1067",65.54323,60.05859
"1068",72.56261,76.81927
"1069",72.15051,66.72684
"1070",63.22006,58.79456
"1071",73.2645,67.89277
